"No.","Time","Source","Destination","Protocol","Length","Info"
"52","93.415451","127.0.0.1","127.0.0.1","TCP","58","61368  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=2 TSval=988149019 TSecr=988149019"
"54","93.415559","127.0.0.1","127.0.0.1","TCP","59","12000  >  61368 [PSH, ACK] Seq=1 Ack=3 Win=408256 Len=3 TSval=988149019 TSecr=988149019"
"56","93.415725","127.0.0.1","127.0.0.1","TCP","59","61368  >  12000 [PSH, ACK] Seq=3 Ack=4 Win=408256 Len=3 TSval=988149019 TSecr=988149019"
"58","93.416032","127.0.0.1","127.0.0.1","TCP","60","12000  >  61368 [PSH, ACK] Seq=4 Ack=6 Win=408256 Len=4 TSval=988149019 TSecr=988149019"
"60","93.416329","127.0.0.1","127.0.0.1","TCP","60","61368  >  12000 [PSH, ACK] Seq=6 Ack=8 Win=408256 Len=4 TSval=988149020 TSecr=988149019"
"62","93.416761","127.0.0.1","127.0.0.1","TCP","60","12000  >  61368 [PSH, ACK] Seq=8 Ack=10 Win=408256 Len=4 TSval=988149020 TSecr=988149020"
"64","93.417308","127.0.0.1","127.0.0.1","TCP","60","61368  >  12000 [PSH, ACK] Seq=10 Ack=12 Win=408256 Len=4 TSval=988149021 TSecr=988149020"
"66","93.418060","127.0.0.1","127.0.0.1","TCP","62","12000  >  61368 [PSH, ACK] Seq=12 Ack=14 Win=408256 Len=6 TSval=988149021 TSecr=988149021"
"68","93.420263","127.0.0.1","127.0.0.1","TCP","58","61368  >  12000 [PSH, ACK] Seq=14 Ack=18 Win=408256 Len=2 TSval=988149023 TSecr=988149021"
"70","93.420840","127.0.0.1","127.0.0.1","TCP","63","12000  >  61368 [PSH, ACK] Seq=18 Ack=16 Win=408256 Len=7 TSval=988149023 TSecr=988149023"
